Time,Displacement,Force
15.7645095,31.529019,-0.554265
15.9503662,31.9007324,-0.69651
16.0575338,32.1150676,-0.91233
16.0828924,32.1657848,-0.86328
16.1650198,32.3300396,-0.7848
16.3071791,32.6143582,-0.48069
16.4069409,32.8138818,-0.446355
16.506367,33.012734,-0.66708
16.6047395,33.209479,-0.671985
16.7039224,33.4078448,-0.583695
16.8033361,33.6066722,-0.65727
16.9041144,33.8082288,-0.74556
17.0043447,34.0086894,-0.573885
17.1043307,34.2086614,-0.495405
17.2047404,34.4094808,-0.4905
17.3053175,34.610635,-0.475785
17.4067719,34.8135438,-0.564075
17.507781,35.015562,-0.495405
17.6111581,35.2223162,-0.85347
17.7135519,35.4271038,-1.025145
17.8160017,35.6320034,-0.77499
17.8661851,35.7323702,-0.59841
18.0551252,36.1102504,-0.41202
18.15933,36.31866,-0.691605
18.1727764,36.3455528,-0.74556
18.2633005,36.526601,-0.632745
18.3631733,36.7263466,-0.485595
18.4631954,36.9263908,-0.59841
18.5624029,37.1248058,-0.65727
18.6625521,37.3251042,-0.50031
18.7626895,37.525379,-0.81423
18.8618948,37.7237896,-0.681795
18.9698646,37.9397292,-0.358065
19.0704997,38.1409994,-0.495405
19.169891,38.339782,-0.63765
19.2888939,38.5777878,-0.976095
19.3913267,38.7826534,-0.819135
19.494779,38.989558,-0.93195
19.5979375,39.195875,-0.760275
19.7012798,39.4025596,-0.711225
19.8020195,39.604039,-0.544455
19.9190694,39.8381388,-0.79461
20.0546557,40.1093114,-0.622935
20.082361,40.164722,-0.652365
20.1882306,40.3764612,-0.701415
20.2950598,40.5901196,-0.966285
20.401655,40.80331,-27.139365
20.5098258,41.0196516,-132.891165
20.5685104,41.1370208,-205.33311
20.7531722,41.5063444,-249.836175
20.7769752,41.5539504,-284.7843
20.8654287,41.7308574,-307.656315
20.9881653,41.9763306,-320.389695
21.0645869,42.1291738,-327.178215
21.2232165,42.446433,-335.712915
21.2633007,42.5266014,-357.285105
21.3616357,42.7232714,-378.209835
21.4628716,42.9257432,-395.32338
21.5660908,43.1321816,-408.091095
21.6955278,43.3910556,-433.54314
21.7621316,43.5242632,-487.767915
21.9375068,43.8750136,-595.001025
21.9620353,43.9240706,-1047.497085
22.0698214,44.1396428,-1673.649765
22.1730315,44.346063,-2285.09235
22.2737675,44.547535,-2842.02567
22.417937,44.835874,-3239.502345
22.471492,44.942984,-3335.659965
22.6673483,44.942984,-3160.855575
